prompt,completion
" 2007. Robin and Ted are running in a airport.
"," Robin: That security guard was a little bit handsy.
"
" Woman: I'm sorry, sir.
"," Robin: His dream job! Didn't you ever have a dream job? Something from when you were a little girl, that was all you wanted to do? I mean, for God's sakes, I'm sure you didn't go to bed at night dreaming about being a... I mean, uh... This is a cool job.
"
" Ted: Thanks.
"," Robin: Your uniforms are pretty.
"
" Ted: That thing better have call waiting.
"," Robin: Could you just call the firm and explain what happened?
"
" Ted: It's down to three people and I know they need to make their decision today. I sort of feel my not showing up might put me at a disadvantage. I'm so stupid. Why did I have to jump that turnstile?
"," Robin: Hey, don't be so hard on yourself. And isn't this whole thing really Barney's fault?
"
" Flashback. A few months earlier Marshall, Lily, Robin and Ted are at Mclaren's.
"," Robin: Oh, Marshall, how's the broken toe?
"
" Marshall: On one pull.
"," Robin: Well, you must be really bummed, you're not gonna be able to run tomorrow.
"
" Barney: Absolutely.
"," Robin: Barney, we're talking about 42 kilometers.
"
" Marshall: Each runner gets a tracking chip so you can follow them online, see when they pass certain checkpoints. Barney's got mine in his shoe.
"," Robin: Ooh, he's starting!
"
" 53 minutes later...
"," Robin: Wow. Look at his time. It's pretty impressive.
"
" End of flashbacks. Back to the airport with Robin and Ted.
"," Robin: See? If Barney never tried to run the marathon, you never would have jumped that turnstile, you wouldn't have had that court date today, and we would have made this flight.
"
" Ted: What? No, n-n-n-no, n-no. I have to be in Chicago today.
"," Robin: Well, he never even called you back?
"
" Ted (voix off): It turned out there was one other flight that would just barely get me to Chicago on time for my job interview, but it was all the way on the other side of the airport.
"," Robin: What was the name of the airline again?
"
" Ted: I think it was something like Flights R' Us.
"," Robin: Was the ""R"" backwards?
"
" Ted: God, I hope not.
"," Robin: Geez.
"
" Ted: Stupid smart carts. More like dumb carts.
"," Robin: If we miss this flight, it's all Barney's fault.
"
" Ted: You know, Barney never would have run the marathon in the first place if Marshall hadn't broken his toe.
"," Robin: Yeah, so? What, you think this is my fault?
"
" Robin comes in the bathroom behind Marshall.
"," Robin: Marshall? Oh, my God!
"
" Ted: So, yes, it was your fault. I mean, if you don't show up at the apartment in the middle of the day, Marshall doesn't break his toe, Barney doesn't run in his place, I don't jump the turnstile and get a court date, and we make our flight in plenty of time! (Ted fells) And I don't fall down and bite my tongue at the airport.
"," Robin: That really wasn't my fault. I wouldn't have walked in on
"
" Flasback. Ted and Robin eat while walking on the street.
"," Robin: Hey, what's going on here?
"
" Ted: Oh, looks like they're camping out for something.
"," Robin: Yeah, but for what?
"
" Ted: I don't know. Usually there's a Stormtrooper or Klingon in line to give you some indication. ""Annual wedding dress blowout. Designer sample dresses up to 90% off. Doors open tomorrow, 8:00 a.m.""
"," Robin: Oh, my God. Can you believe what some nut bags will do to save a few bucks?
"
" Lily: We have to camp out.
"," Robin: Are you serious?
"
" Lily and Robin arrive at the wedding dress shop.
"," Robin: This is the place.
"
